"0801.1854","Andrew Tolley","Andrew J. Tolley, Mark Wyman","Stochastic Inflation Revisited: Non-Slow Roll Statistics and DBI
  Inflation","38 pages, 2 figures. v3: minor revisions; version accepted into JCAP","JCAP0804:028,2008","10.1088/1475-7516/2008/04/028","PI-COSMO-58","hep-th astro-ph gr-qc","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Stochastic inflation describes the global structure of the inflationary
universe by modeling the super-Hubble dynamics as a system of matter fields
coupled to gravity where the sub-Hubble field fluctuations induce a stochastic
force into the equations of motion. The super-Hubble dynamics are ultralocal,
allowing us to neglect spatial derivatives and treat each Hubble patch as a
separate universe. This provides a natural framework in which to discuss
probabilities on the space of solutions and initial conditions. In this article
we derive an evolution equation for this probability for an arbitrary class of
matter systems, including DBI and k-inflationary models, and discover
equilibrium solutions that satisfy detailed balance. Our results are more
general than those derived assuming slow roll or a quasi-de Sitter geometry,
and so are directly applicable to models that do not satisfy the usual slow
roll conditions. We discuss in general terms the conditions for eternal
inflation to set in, and we give explicit numerical solutions of highly
stochastic, quasi-stationary trajectories in the relativistic DBI regime.
Finally, we show that the probability for stochastic/thermal tunneling can be
significantly enhanced relative to the Hawking-Moss instanton result due to
relativistic DBI effects.
","[{""version"":""v1"",""created"":""Mon, 14 Jan 2008 20:16:52 GMT""},{""version"":""v2"",""created"":""Wed, 30 Jan 2008 00:18:11 GMT""},{""version"":""v3"",""created"":""Thu, 19 Jun 2008 14:52:43 GMT""}]","2008-11-26"
"0801.1887","Lode Pollet","Lode Pollet, Corinna Kollath, Kris Van Houcke, Matthias Troyer","Temperature changes when adiabatically ramping up an optical lattice","18 pages, 24 figure",,"10.1088/1367-2630/10/6/065001",,"cond-mat.stat-mech",,"  When atoms are loaded into an optical lattice, the process of gradually
turning on the lattice is almost adiabatic. In this paper we investigate how
the temperature changes when going from the gapless superfluid phase to the
gapped Mott phase along isentropic lines. To do so we calculate the entropy in
the single-band Bose-Hubbard model for various densities, interaction strengths
and temperatures in one and two dimensions for homogeneous and trapped systems.
Our theory is able to reproduce the experimentally observed visibilities and
therefore strongly supports that current experiments remain in the quantum
regime for all considered lattice depths with low temperatures and minimal
heating.
","[{""version"":""v1"",""created"":""Mon, 14 Jan 2008 19:25:48 GMT""}]","2010-09-10"
"0801.1915","Chiu Fan Lee","Chiu Fan Lee","Dynamical density functional theory with hydrodynamic interaction","This paper has been withdrawn",,,,"cond-mat.soft cond-mat.stat-mech",,"  This paper has been withdrawn by the author due to the incorrect application
of the divergence theorem to Eqs 7, 8 and 9.
","[{""version"":""v1"",""created"":""Mon, 14 Jan 2008 18:41:20 GMT""},{""version"":""v2"",""created"":""Mon, 14 Jan 2008 22:22:20 GMT""},{""version"":""v3"",""created"":""Wed, 16 Jan 2008 16:54:56 GMT""},{""version"":""v4"",""created"":""Thu, 17 Jan 2008 15:21:49 GMT""}]","2008-01-17"
"0801.1969","Pierre Albin","Pierre Albin, Frederic Rochon","Families index for manifolds with hyperbolic cusp singularities","Changed the convention used for eta forms",,,,"math.DG math.AP",,"  Manifolds with fibered hyperbolic cusp metrics include hyperbolic manifolds
with cusps and locally symmetric spaces of Q-rank one. We extend Vaillant's
treatment of Dirac-type operators associated to these metrics by weaking the
hypotheses on the boundary families through the use of Fredholm perturbations
as in the family index theorem of Melrose and Piazza and by treating the index
of families of such operators. We also extend the index theorem of Moroianu and
Leichtnam-Mazzeo-Piazza to families of perturbed Dirac-type operators
associated to fibered cusp metrics (sometimes known as fibered boundary
metrics).
","[{""version"":""v1"",""created"":""Mon, 14 Jan 2008 18:13:29 GMT""},{""version"":""v2"",""created"":""Tue, 8 Apr 2008 15:29:23 GMT""}]","2008-04-08"
"0801.2064","Joseph A. Minahan","J. A. Minahan, O. Ohlsson Sax","Finite size effects for giant magnons on physical strings","24 pages, 7 figures; v2 typos fixed","Nucl.Phys.B801:97-117,2008","10.1016/j.nuclphysb.2008.04.018","UUITP-20/07","hep-th",,"  Using finite gap methods, we find the leading order finite size corrections
for an arbitrary number of giant magnons on physical strings, where the sum of
the momenta is a multiple of 2\pi. Our results are valid for the
Hofman-Maldacena fundamental giant magnons as well as their dyonic
generalizations. The energy corrections turn out to be surprisingly simple,
especially if all the magnons are fundamental, and at leading order are
independent of the magnon flavors. We also show how to use the Bethe ansatz to
find finite size corrections for dyonic giant magnons with large R-charges.
","[{""version"":""v1"",""created"":""Mon, 14 Jan 2008 20:20:20 GMT""},{""version"":""v2"",""created"":""Fri, 1 Feb 2008 03:30:42 GMT""}]","2008-11-26"
"0801.2080","Michela Uslenghi","Michela Uslenghi (1), Isabella Pagano (2), Cristian Pontoni (2),
  Salvatore Scuderi (2), Boris Shustov (3) ((1) INAF/IASF-Milano, (2)
  INAF/Catania Astrophysical Observatory, (3) INASAN, Moscow)","The World Space Observatory (WSO-UV) - Current status","6 pages, 5 figures; Chinese Journal for Astronomy and Astrophysics
  (ChJAA), in press. Invited talk at the Frascati Workshop 2007 Vulcano
  (Italy), May 28 - June 2 ""Multifrequency Behaviour Of High Energy Cosmic
  Sources""",,,,"astro-ph",,"  This paper reports on the current status of the World Space Observatory
WSO-UV, a space mission for UV astronomy, planned for launch at the beginning
of next decade. It is based on a 1.7 m telescope, with focal plane instruments
including high resolution spectrographs, long slit low resolution spectrographs
and imaging cameras.
","[{""version"":""v1"",""created"":""Mon, 14 Jan 2008 17:04:03 GMT""}]","2008-01-15"
"0801.2103","Alexander Schmidt","Alexander Schmidt","On the K(\pi,1)-property for rings of integers in the mixed case",,,,,"math.NT",,"  We investigate the Galois group G_S(p) of the maximal p-extension unramified
outside a finite set S of primes of a number field in the (mixed) case, when
there are primes dividing p inside and outside S. We show that the cohomology
of G_S(p) is ""often"" isomorphic to the etale cohomology of the scheme Spec(O_k
  S), in particular, G_S(p) is of cohomological dimension 2 then. We deduce
this from the results in our previous paper ""Rings of integers of type
K(\pi,1)"" (arXiv:0705.3372), which mainly dealt with the tame case.
","[{""version"":""v1"",""created"":""Mon, 14 Jan 2008 16:00:54 GMT""}]","2008-01-15"
"0801.2104","Mario Gliozzi","M. Gliozzi (1), I.E. Papadakis (2), R.M. Sambruna (3), ((1) GMU, (2)
  University of Crete, (3) NASA GSFC)","Long-Term X-Ray monitoring of NGC6251: Evidence for a jet-dominated
  radio galaxy","13 pages, 8 figures, 2 tables, accepted for publication in ApJ",,"10.1086/529540",,"astro-ph",,"  We present the first X-ray monitoring observations of the X-ray bright FRI
radio galaxy NGC6251 observed with RXTE for 1 year. The primary goal of this
study is to shed light on the origin of the X-rays, by investigating the
spectral variability with model-independent methods coupled with time-resolved
and flux-selected spectroscopy. The main results can be summarized as follows:
1) Throughout the monitoring campaign, NGC6251 was in relatively high-flux
state. 2) The flux persistently changed with fluctuations of the order of ~2 on
time scales of 20-30 days. 3) When the hardness ratio is plotted against the
average count rate, there is evidence for a spectral hardening as the source
brightens; this finding is confirmed by a flux-selected spectral analysis. 4)
The fractional variability appears to be more pronounced in the hard energy
band (5-12 keV) than in the soft one (2.5-5 keV). 5) 2-month averaged and
flux-limited energy spectra are adequately fitted by a power law. A Fe Kalpha
line is never statistically required, although the presence of a strong iron
line cannot be ruled out, due to the high upper limits on the line equivalent
width. The inconsistency of the spectral variability behavior of NGC6251 with
the typical trend observed in Seyfert galaxies and the similarity with blazars
lead support to a jet-dominated scenario during the RXTE monitoring campaign.
However, a possible contribution from a disk-corona system cannot be ruled out.
","[{""version"":""v1"",""created"":""Mon, 14 Jan 2008 16:08:30 GMT""}]","2009-11-13"
"0801.2105","Yu-Jun Cui","Pierre Delage (ENPC-Cermes), Trung Tinh Le (ENPC-Cermes), Anh-Minh
  Tang (ENPC-Cermes), Yu-Jun Cui (ENPC-Cermes), Xiang-Ling Li (EURIDICE)","Suction effects in deep Boom clay block samples",,"G\'eotechnique 57, 1 (2007) 239-244","10.1680/geot.2007.57.10.862",,"physics.geo-ph",,"  Extensive investigations have been and are being carried out on a stiff clay
from an underground research laboratory located at Mol (Belgium) called Boom
clay, in the context of research into deep nuclear waste disposal. Suction
effects in deep Boom clay block samples were investigated through the
characterisation of the water retention and of the swelling properties of the
clay. The data obtained allowed an estimation of the sample initial suction
that was reasonably compatible with the in-situ state of stress at a depth of
223 m. The relationship between suction and stress changes during loading and
unloading sequences were also examined by running oedometer tests with suction
measurements. A rather wide range of the ratio s/sigma 'v (being s the suction
and sigma 'v the effective vertical stress) was obtained (0.61 - 1), different
from that proposed by Bishop et al; (1974). Finally, the effect of suction
release under an isotropic stress close to the estimated sample suction was
investigated. A slight swelling (1.7%) was observed and further compression
provided a satisfactory value of the overconsolidation ratio confirming the
suggestions of taking some precautions before putting a swelling sample in
contact with water as suggested by Graham et al. (1987). The various
experimental data gathered in this study finally evidenced a relatively good
state of conservation of the block sample used.
","[{""version"":""v1"",""created"":""Mon, 14 Jan 2008 16:15:02 GMT""}]","2008-01-15"
"0801.2106","Jose Villa Morales","F. Cortes, J.A. Le\'on, J. Villa","The Local Time of the Classical Risk Process","15 pages",,,,"math.PR",,"  In this paper we give an explicit expression for the local time of the
classical risk process and associate it with the density of an occupational
measure. To do so, we approximate the local time by a suitable sequence of
absolutely continuous random fields. Also, as an application, we analyze the
mean of the times $s \in [0,T]$ such that $0\leq X_{s} \leq X_{s+\epsilon} $
for some given $\epsilon>0$.
","[{""version"":""v1"",""created"":""Mon, 14 Jan 2008 16:16:23 GMT""}]","2008-01-15"
"0801.2107","Dario Alf\`e","M. Pozzo and D. Alf\`e (1), A. Amieiro, S. French and A. Pratt (2)
  ((1) University College London) ((2) Johnson Matthey Plc.)","Hydrogen Dissociation and Diffusion on Ni and Ti -doped Mg(0001)
  Surfaces","17 pages, 15 figures, to appear in Journal of Chemical Physics",,"10.1063/1.2835541",,"cond-mat.mtrl-sci",,"  It is well known, both theoretically and experimentally, that alloying
MgH$_2$ with transition elements can significantly improve the thermodynamic
and kinetic properties for H$_2$ desorption, as well as the H$_2$ intake by Mg
bulk. Here we present a density functional theory investigation of hydrogen
dissociation and surface diffusion over Ni-doped surface, and compare the
findings to previously investigated Ti-doped Mg(0001) and pure Mg(0001)
surfaces. Our results show that the energy barrier for hydrogen dissociation on
the pure Mg(0001) surface is high, while it is small/null when Ni/Ti are added
to the surface as dopants. We find that the binding energy of the two H atoms
near the dissociation site is high on Ti, effectively impeding diffusion away
from the Ti site. By contrast, we find that on Ni the energy barrier for
diffusion is much reduced. Therefore, although both Ti and Ni promote H$_2$
dissociation, only Ni appears to be a good catalyst for Mg hydrogenation,
allowing diffusion away from the catalytic sites. Experimental results
corroborate these theoretical findings, i.e. faster hydrogenation of the Ni
doped Mg sample as opposed to the reference Mg or Ti doped Mg.
","[{""version"":""v1"",""created"":""Mon, 14 Jan 2008 17:57:48 GMT""}]","2009-11-13"
