"0805.2150","Victor Galitski","Tudor D. Stanescu, Victor Galitski and S. Das Sarma","Orbital fluctuation mechanism for superconductivity in iron-based
  compounds","expanded version, 9+ pages, 6 color figures","Phys. Rev. B 78, 195114 (2008).","10.1103/PhysRevB.78.195114",,"cond-mat.supr-con cond-mat.str-el","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We propose orbital fluctuations in a multi-band ground state as the
superconducting pairing mechanism in the new iron-based materials. We develop a
general SU(4) theoretical framework for studying a two-orbital model and
discuss a number of scenarios that may be operational within this orbital
fluctuation paradigm. The orbital and spin symmetry of the superconducting
order parameter is argued to be highly non-universal and dependent on the
details of the underlying band structure. We introduce a minimal two-orbital
model for the Fe-pnictides characterized by non-degenerate orbitals that
strongly mix with each other. They correspond to the iron ""d_xy"" orbital and to
an effective combination of ""d_zx"" and ""d_zy"", respectively. Using this
effective model we perform RPA calculations of susceptibilities and effective
pairing interactions. We find that spin and orbital fluctuations are,
generally, strongly coupled and we identify the parameters that control this
coupling as well as the relative strength of various channels.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 18:29:12 GMT""},{""version"":""v2"",""created"":""Fri, 17 Oct 2008 22:19:13 GMT""}]","2008-11-18"
"0805.2173","Michael Salem","Andrea De Simone, Alan H. Guth, Michael P. Salem, and Alexander
  Vilenkin","Predicting the cosmological constant with the scale-factor cutoff
  measure","16 pages, 6 figures, 2 appendices","Phys.Rev.D78:063520,2008","10.1103/PhysRevD.78.063520","MIT-CTP-3934","hep-th astro-ph hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  It is well known that anthropic selection from a landscape with a flat prior
distribution of cosmological constant Lambda gives a reasonable fit to
observation. However, a realistic model of the multiverse has a physical volume
that diverges with time, and the predicted distribution of Lambda depends on
how the spacetime volume is regulated. We study a simple model of the
multiverse with probabilities regulated by a scale-factor cutoff, and calculate
the resulting distribution, considering both positive and negative values of
Lambda. The results are in good agreement with observation. In particular, the
scale-factor cutoff strongly suppresses the probability for values of Lambda
that are more than about ten times the observed value. We also discuss several
qualitative features of the scale-factor cutoff, including aspects of the
distributions of the curvature parameter Omega and the primordial density
contrast Q.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 16:42:37 GMT""}]","2009-02-23"
"0805.2175","Reinhard Schwienhorst","Reinhard Schwienhorst (for the D0 and CDF collaborations)","Single top quark production at the Tevatron","6 pages, proceedings for the Rencontres de Moriond EW 2008",,,"FERMILAB-CONF-08-129-E","hep-ex","http://creativecommons.org/licenses/publicdomain/","  The Tevatron experiments D0 and CDF have found evidence for single top quark
production, based on datasets between 0.9fb-1 and 2.2fb^-1. Several different
multivariate techniques are used to extract the single top quark signal out of
the large backgrounds. The cross section measurements are also used to provide
the first direct measurement of the CKM matrix element |Vtb|.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 17:18:11 GMT""}]","2019-08-14"
"0805.2188","Vladimir Privman","A. Dementsov, V. Privman","Three-Dimensional Percolation Modeling of Self-Healing Composites","15 pages in PDF, with 6 figures","Physical Review E 78, Article 021104 (2008)","10.1103/PhysRevE.78.021104",,"cond-mat.mtrl-sci cond-mat.stat-mech","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study the self-healing process of materials with embedded ""glue""-carrying
cells, in the regime of the onset of the initial fatigue. Three-dimensional
numerical simulations within the percolation-model approach are reported. The
main numerical challenge taken up in the present work, has been to extend the
calculation of the conductance to three-dimensional lattices. Our results
confirm the general features of the process: The onset of the material fatigue
is delayed, by developing a plateau-like time-dependence of the material
quality. We demonstrate that in this low-damage regime, the changes in the
conductance and thus, in similar transport/response properties of the material
can be used as measures of the material quality degradation. A new feature
found for three dimensions, where it is much more profound than in
earlier-studied two-dimensional systems, is the competition between the healing
cells. Even for low initial densities of the healing cells, they interfere with
each other and reduce each other's effective healing efficiency.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 20:55:29 GMT""},{""version"":""v2"",""created"":""Fri, 8 Aug 2008 12:26:14 GMT""}]","2010-10-12"
"0805.2201","Maryam Modjaz","Maryam Modjaz, W. Li, N. Butler, R. Chornock, D. Perley, S. Blondin,
  J. S. Bloom, A. V. Filippenko, R. P. Kirshner, D. Kocevski, D. Poznanski, M.
  Hicken, R. J. Foley, G. S. Stringfellow, P. Berlind, D. Barrado y Navascues,
  C. H. Blake, H. Bouy, W. R. Brown, P. Challis, H. Chen, W. H. de Vries, P.
  Dufour, E. Falco, A. Friedman, M. Ganeshalingam, P. Garnavich, B. Holden, G.
  Illingworth, J. Liebert, G. H. Marion, N. Lee, S. S. Olivier, J. X.
  Prochaska, J. M. Silverman, N. Smith, D. Starr, T. N. Steele, A. Stockton, G.
  G. Williams, W. M. Wood-Vasey","From Shock Breakout to Peak and Beyond: Extensive Panchromatic
  Observations of the Type Ib Supernova 2008D associated with Swift X-ray
  Transient 080109","Accepted to ApJ, v3 contains more data than v2 and more references,
  conclusions not significantly changed, 28 pages in emulateapj, 17 figures","Astrophys.J.702:226-248,2009","10.1088/0004-637X/702/1/226",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present extensive early photometric (ultraviolet through near-infrared)
and spectroscopic (optical and near-infrared) data on supernova (SN) 2008D as
well as X-ray data analysis on the associated Swift/X-ray transient (XRT)
080109. Our data span a time range of 5 hours before the detection of the X-ray
transient to 150 days after its detection, and detailed analysis allowed us to
derive constraints on the nature of the SN and its progenitor; throughout we
draw comparisons with results presented in the literature and find several key
aspects that differ. We show that the X-ray spectrum of XRT 080109 can be fit
equally well by an absorbed power law or a superposition of about equal parts
of both power law and blackbody. Our data first established that SN 2008D is a
spectroscopically normal SN Ib (i.e., showing conspicuous He lines), and show
that SN 2008D had a relatively long rise time of 18 days and a modest optical
peak luminosity. The early-time light curves of the SN are dominated by a
cooling stellar envelope (for \Delta t~0.1- 4 day, most pronounced in the blue
bands) followed by 56^Ni decay. We construct a reliable measurement of the
bolometric output for this stripped-envelope SN, and, combined with estimates
of E_K and M_ej from the literature, estimate the stellar radius R_star of its
probable Wolf-Rayet progenitor. According to the model of Waxman et al. and of
Chevalier & Fransson, we derive R_star^{W07}= 1.2+/-0.7 R_sun and
R_star^{CF08}= 12+/-7 R_sun, respectively; the latter being more in line with
typical WN stars. Spectra obtained at 3 and 4 months after maximum light show
double-peaked oxygen lines that we associate with departures from spherical
symmetry, as has been suggested for the inner ejecta of a number of SN Ib
cores.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 19:22:55 GMT""},{""version"":""v2"",""created"":""Sat, 17 May 2008 03:48:23 GMT""},{""version"":""v3"",""created"":""Wed, 17 Jun 2009 05:26:35 GMT""}]","2009-08-12"
"0805.2209","Gus Gutoski","Gus Gutoski","Properties of Local Quantum Operations with Shared Entanglement","25 pages, 11pt font, full page compilation of final journal version.
  v3: strong NP-hardness result added, other minor revisions; v2: new title,
  major revisions","Quantum Information and Computation, 9(9&10):739--764, 2009",,,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Multi-party local quantum operations with shared quantum entanglement or
shared classical randomness are studied. The following facts are established:
  (i) There is a ball of local operations with shared randomness lying within
the space spanned by the no-signaling operations and centred at the completely
noisy channel.
  (ii) The existence of the ball of local operations with shared randomness is
employed to prove that the weak membership problem for local operations with
shared entanglement is strongly NP-hard.
  (iii) Local operations with shared entanglement are characterized in terms of
linear functionals that are ``completely'' positive on a certain cone K of
separable Hermitian operators, under a natural notion of complete positivity
appropriate to that cone. Local operations with shared randomness (but not
entanglement) are also characterized in terms of linear functionals that are
merely positive on that same cone K.
  (iv) Existing characterizations of no-signaling operations are generalized to
the multi-party setting and recast in terms of the Choi-Jamiolkowski
representation for quantum super-operators. It is noted that the standard
nonlocal box is an example of a no-signaling operation that is separable, yet
cannot be implemented by local operations with shared entanglement.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 17:20:31 GMT""},{""version"":""v2"",""created"":""Mon, 15 Sep 2008 21:09:04 GMT""},{""version"":""v3"",""created"":""Tue, 28 Jul 2009 14:59:19 GMT""}]","2013-10-16"
"0805.2221","Fan Yizhong","Yi-Zhong Fan and Tsvi Piran","High energy gamma-ray emission from Gamma-Ray Bursts -- before GLAST","An invited review article to appear in Front. Phys. China., typos
  corrected (Possible prompt and very early GeV-TeV emission from GRB 080319B
  are discussed in Sec. V)","Front.Phys.China3:306-330,2008","10.1007/s11467-008-0033-z",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Gamma-ray bursts (GRBs) are short and intense emission of soft gamma-rays,
which have fascinated astronomers and astrophysicists since their unexpected
discovery in 1960s. The X-ray/optical/radio afterglow observations confirm the
cosmological origin of GRBs, support the fireball model, and imply a
long-activity of the central engine. The high energy gamma-ray emission (>20
MeV) from GRBs is particularly important because they shed some lights on the
radiation mechanisms and can help us to constrain the physical processes giving
rise to the early afterglows. In this work, we review observational and
theoretical studies of the high energy emission from GRBs. Special attention is
given to the expected high energy emission signatures accompanying the
canonical early-time X-ray afterglow that was observed by the Swift X-ray
Telescope. We also discuss the detection prospect of the upcoming GLAST
satellite and the current ground-based Cerenkov detectors.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 18:44:54 GMT""},{""version"":""v2"",""created"":""Thu, 15 May 2008 21:25:42 GMT""},{""version"":""v3"",""created"":""Wed, 4 Jun 2008 08:45:23 GMT""},{""version"":""v4"",""created"":""Wed, 6 May 2009 23:31:32 GMT""}]","2009-05-07"
"0805.2223","Nikolaos Kidonakis","Nikolaos Kidonakis","Higgs Production via b bbar -> H in Hadron Colliders","5 pages, 4 figures; presented at DIS 2008, London, England, April
  7-11, 2008",,,,"hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  I present NNNLO collinear and soft gluon corrections for Higgs production via
the process b bbar -> H. I show that the collinear corrections dominate and
contribute large enhancements to the cross section at both the Tevatron and the
LHC.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 17:38:09 GMT""}]","2008-05-16"
"0805.2315","Javier Burguete","Montserrat A. Miranda, Javier Burguete","Subcritical instabilities in a convective fluid layer under a quasi-1D
  heating","13 pages, 12 figures","Physical Review E {\bf 78} (2008) 046305","10.1103/PhysRevE.78.046305",,"nlin.PS","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The study and characterization of the diversity of spatiotemporal patterns
generated when a rectangular layer of fluid is locally heated beneath its free
surface is presented. We focus on the instability of a stationary cellular
pattern of wave number $k_s$ which undergoes a globally subcritical transition
to traveling waves by parity-breaking symmetry. The experimental results show
how the emerging traveling mode ($2/3k_{s}$) switches on a resonant triad
($k_s$, $k_s/2$, $2k_{s}/3$) within the cellular pattern yielding a ``mixed''
pattern. The nature of this transition is described quantitatively in terms of
the evolution of the fundamental modes by complex demodulation techniques. The
B\' enard-Marangoni convection accounts for the different dynamics depending on
the depth of the fluid layer and on the vertical temperature difference. The
existence of a hysteresis cycle has been evaluated quantitatively. When the
bifurcation to traveling waves is measured in the vicinity of the codimension-2
bifurcation point, we measure a decrease of the subcritical interval in which
the traveling mode becomes unstable. From the traveling wave state the system
under goes a {\it new} global secondary bifurcation to an alternating pattern
which doubles the wavelength ($k_{s}/2$) of the primary cellular pattern, this
result compares well with theoretical predictions [P. Coullet and G. Ioss, {\em
Phys. Rev. Lett.} {\bf 64}, 8 66 (1990)]. In this cascade of bifurcations
towards a defect dynamics, bistability due to the subcritical behavior of our
system is the reason for the coexistence of two different modulated patterns
connected by a front. These fronts are stationary for a finite interval of the
control parameters.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 16:11:48 GMT""}]","2009-01-21"
"0805.2346","Cosimo Gorini","C. Gorini, P. Schwab, M. Dzierzawa, R. Raimondi","Spin polarizations and spin Hall currents in a two-dimensional electron
  gas with magnetic impurities","5 pages, 2 figures. References added, minor stylistic modifications","Phys. Rev. B 78, 125327 (2008)","10.1103/PhysRevB.78.125327",,"cond-mat.mes-hall cond-mat.dis-nn","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We consider a two-dimensional electron gas in the presence of Rashba
spin-orbit coupling, and study the effects of magnetic s-wave impurities and
long-range non-magnetic disorder on the spin-charge dynamics of the system. We
focus on voltage induced spin polarizations and their relation to spin Hall
currents. Our results are obtained using the quasiclassical Green function
technique, and hold in the full range of the disorder parameter $\alpha
p_F\tau$.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 16:01:40 GMT""},{""version"":""v2"",""created"":""Mon, 22 Sep 2008 12:37:35 GMT""}]","2008-10-30"
"0805.2347","Stephen G. Naculich","Stephen G. Naculich, Horatiu Nastase, Howard J. Schnitzer","Two-loop graviton scattering relation and IR behavior in N=8
  supergravity","19 pages; v2: reference added; v3, published version: slight change
  in conventions, minor comments, added reference","Nucl.Phys.B805:40-58,2008","10.1016/j.nuclphysb.2008.07.001","BRX-TH-595, BOW-PH-142, TIT/HEP-582","hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We derive an ABDK-like relation between the one- and two-loop four-graviton
amplitudes in N=8 supergravity. Specifically we show that the infrared
divergent part of the two-loop amplitude is one-half the square of the one-loop
amplitude, suggesting an exponential structure for IR divergences. The
difference between the two-loop amplitude and one-half the square of the full
one-loop amplitude is therefore finite, and expressible in a relatively simple
form. We give arguments for generalizations to higher loops and n-point
functions, suggesting that the exponential of the full one-loop amplitude may
be corrected, to low orders, by only simple finite terms.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 16:04:36 GMT""},{""version"":""v2"",""created"":""Wed, 4 Jun 2008 17:28:37 GMT""},{""version"":""v3"",""created"":""Fri, 29 Aug 2008 21:08:11 GMT""}]","2008-11-26"
