"0807.0008","Roman Rafikov","Roman R. Rafikov (Princeton)","Stellar proper motion and the timing of planetary transits","7 pages, 2 tables, submitted to ApJ","Astrophys.J.700:965-970,2009","10.1088/0004-637X/700/2/965",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Duration and period of transits in extrasolar planetary systems can exhibit
long-term variations for a variety of reasons. Here we investigate how systemic
proper motion, which steadily re-orients planetary orbit with respect to our
line of sight, affects the timing of transits. We find that in a typical system
with a period of several days proper motion at the level of 100 mas/yr makes
transit duration vary at a rate ~10-100 ms/yr. In some isolated systems this
variation is at the measurable level (can be as high as 0.6 s/yr for GJ436) and
may exceed all other transit timing contributions (due to the general
relativity, stellar quadrupole, etc.). In addition, proper motion causes
evolution of the observed orbital period via the Shklovskii effect at a rate
$\gtrsim 10$ $\mu$s/yr for the nearby transiting systems (0.26 ms/yr in GJ436),
which in some cases exceeds all other contributions to $\dot P$. Earth's motion
around the Sun gives rise to additional periodic timing signal (even for
systems with zero intrinsic proper motion) allowing a full determination of the
spatial orientation of the planetary orbit. Unlike most other timing effects
the proper motion signatures persist even in systems with zero eccentricity and
get stronger as the planetary period increases. They should be the dominant
cause of transit timing variations in isolated wide separation (periods of
months) systems that will be sought by Kepler.
","[{""version"":""v1"",""created"":""Tue, 1 Jul 2008 17:39:45 GMT""}]","2009-07-22"
"0807.0033","Keun-young Kim","Keun-Young Kim and Ismail Zahed","Electromagnetic Baryon Form Factors from Holographic QCD","26 pages, 2 figures","JHEP 0809:007,2008","10.1088/1126-6708/2008/09/007",,"hep-th hep-ph nucl-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In the holographic model of QCD suggested by Sakai and Sugimoto, baryons are
chiral solitons sourced by D4 instantons in bulk of size 1/\sqrt{\lambda} with
\lambda=g^2N_c. We quantize the D4 instanton semiclassically using
\hbar=1/(N_c\lambda) and non-rigid constraints on the vector mesons. The
holographic baryon is a small chiral bag in the holographic direction with a
Cheshire cat smile. The vector-baryon interactions occur at the core boundary
of the instanton in D4. They are strong and of order 1/\sqrt{\hbar}. To order
\hbar^0 the electromagnetic current is entirely encoded on the core boundary
and vector-meson dominated. To this order, the electromagnetic charge radius is
of order \lambda^0. The meson contribution to the baryon magnetic moments sums
identically to the core contribution. The proton and neutron magnetic moment
are tied by a model independent relation similar to the one observed in the
Skyrme model.
","[{""version"":""v1"",""created"":""Tue, 1 Jul 2008 16:00:58 GMT""}]","2009-03-05"
"0807.0036","Constantin V. Usenko","Constantin V. Usenko","Qubit-qunit decomposition of quantum channel","27 pages",,,,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Problem of classification of parallel quantum channels for information
transfer is studied by method of ladder operators.
  Detailed compared to http://arxiv.org/abs/quant-ph/0702076 presentation of
method of ladder operators is given. Examples of paired channel and qubit-qunit
pair are added. Relations between eigenvalues of density matrices of composite
channel and its subchannels determining presence/absence of entanglement of
arbitrary mixed state of channel are obtained.
","[{""version"":""v1"",""created"":""Tue, 1 Jul 2008 19:55:27 GMT""}]","2008-07-02"
"0807.0037","Rubens Ramos Viana","Joao Batista Rosa Silva, Rubens Viana Ramos","On the quantum polarization and entanglement of superposition of two
  two-mode coherent states","14 pages, 10 figures",,,,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  This work discuss the entanglement and quantum polarization of superpositions
of two-mode coherent states. We use the concurrence to measure their
entanglements and the quantum Stokes parameters and the Q function in order to
analyze their polarization and degree of polarization.
","[{""version"":""v1"",""created"":""Tue, 1 Jul 2008 16:35:56 GMT""}]","2008-07-02"
"0807.0040","Tim Weinzirl","Tim Weinzirl (1), Shardha Jogee (1), Sadegh Khochfar (2)(3), Andreas
  Burkert (4), John Kormendy (1) ((1) Univ. of Texas at Austin, USA, (2) Univ.
  of Oxford, UK (3), Max Planck Institut fur extraterrestrische Physik,
  Germany, (4) Universitats-Sternwarte Munchen, Germany)","Bulge n and B/T in High Mass Galaxies: Constraints on the Origin of
  Bulges in Hierarchical Models","Accepted by the Astrophysical Journal. 42 pages of text, 27 figures,
  12 tables","Astrophys.J.696:411-447,2009","10.1088/0004-637X/696/1/411",,"astro-ph","http://creativecommons.org/licenses/by/3.0/","  We use the bulge Sersic index n and bulge-to-total ratio (B/T) to explore the
fundamental question of how bulges form. We perform 2D bulge-disk-bar
decomposition on H-band images of 143 bright, high stellar mass (>1.0e10 solar
masses) low-to-moderately inclined (i<70 degrees) spirals. Our results are: (1)
Our H-band bar fraction (~58%) is consistent with that from ellipse fits. (2)
70% of the stellar mass is in disks, 10% in bars, and 20% in bulges. (3) A
large fraction (~69%) of bright spirals have B/T<0.2, and ~76% have low n<2
bulges. These bulges exist in barred and unbarred galaxies across a wide range
of Hubble types. (4) About 65% (68%) of bright spirals with n<2 (B/T<0.2)
bulges host bars, suggesting a possible link between bars and bulges. (5) We
compare the results with predictions from a set of LCDM models. In the models,
a high mass spiral can have a bulge with a present-day low B/T<0.2 only if it
did not undergo a major merger since z<2. The predicted fraction (~1.6%) of
high mass spirals, which have undergone a major merger since z<4 and host a
bulge with a present-day low B/T<0.2, is a factor of over thirty smaller than
the observed fraction (~66%) of high mass spirals with B/T<0.2. Thus, contrary
to common perception, bulges built via major mergers since z<4 seriously fail
to account for the bulges present in ~66% of high mass spirals. Most of these
present-day low B/T<0.2 bulges are likely to have been built by a combination
of minor mergers and/or secular processes since z<4.
","[{""version"":""v1"",""created"":""Tue, 1 Jul 2008 17:28:42 GMT""},{""version"":""v2"",""created"":""Wed, 2 Jul 2008 19:58:33 GMT""},{""version"":""v3"",""created"":""Tue, 24 Mar 2009 01:42:41 GMT""}]","2014-11-18"
"0807.0044","Pietro Antonio Grassi","Pietro Fr\'e and Pietro Antonio Grassi","Pure Spinor Formalism for Osp(N|4) backgrounds","25 pp, latex, Misprints, improvements in the last section and
  references added",,"10.1142/S0217751X12501850","DISTA-2008","hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We start from the Maurer-Cartan (MC) equations of the Osp(N|4) superalgebras
satisfied by the left-invariant super-forms realized on supercoset manifolds of
the corresponding supergroups and we derive some new pure spinor constraints.
They are obtained by ""ghostifying"" the MC forms and extending the differential
d to a BRST differential. From the superalgebras G =Osp(N|4) we single out
different subalgebras H contained in G associated with the different cosets
G/H: each choice of H leads to a different weakening of the pure spinor
constraints. In each case, the number of parameter is counted and we show that
in the cases of Osp(6|4)/U(3) x SO(1,3), Osp(4|4)/SO(3) x SO(1,3) and finally
Osp(4|4) U(2)} x SO(1,3) the bosonic and fermionic degrees of freedom match in
order to provide a c=0 superconformal field theory. We construct both the
Green-Schwarz and the pure spinor sigma model for the case Osp(6|4)/U(3)x
SO(1,3) corresponding to AdS_4 x P^3. The pure spinor sigma model can be
consistently quantized.
","[{""version"":""v1"",""created"":""Tue, 1 Jul 2008 19:11:41 GMT""},{""version"":""v2"",""created"":""Sat, 12 Jul 2008 20:38:53 GMT""}]","2015-05-13"
"0807.0063","Thomas Faulkner","Thomas Faulkner and Hong Liu","Meson widths from string worldsheet instantons","6 pages, 3 figures",,"10.1016/j.physletb.2009.01.071","MIT-CTP 3959","hep-th hep-ph nucl-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We show that open strings living on a D-brane which lies outside an AdS black
hole can tunnel into the black hole through worldsheet instantons. These
instantons have a simple interpretation in terms of thermal quarks in the dual
Yang-Mills (YM) theory. As an application we calculate the width of a meson in
a strongly coupled quark-gluon plasma which is described holographically as a
massless mode on a D7 brane in AdS_5 \times S_5. While the width of the meson
is zero to all orders in the 1/\sqrt{\lambda} expansion with \lambda the 't
Hooft coupling, it receives non-perturbative contributions in 1/\sqrt{\lambda}
from worldsheet instantons. We find that the width increases quadratically with
momentum at large momentum and comment on potential phenomenological
implications of this enhancement for heavy ion collisions. We also comment on
how this non-perturbative effect has important consequences for the phase
structure of the YM theory obtained in the classical gravity limit.
","[{""version"":""v1"",""created"":""Tue, 1 Jul 2008 19:39:34 GMT""}]","2009-11-13"
"0807.0090","Xian-Jin Li","Xian-Jin Li","A proof of the Riemann hypothesis","withdrawn by author, due to mistake on page 29",,,,"math.NT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  This paper has been withdrawn by the author, due to a mistake on page 29.
","[{""version"":""v1"",""created"":""Tue, 1 Jul 2008 19:43:13 GMT""},{""version"":""v2"",""created"":""Wed, 2 Jul 2008 11:05:52 GMT""},{""version"":""v3"",""created"":""Thu, 3 Jul 2008 03:44:03 GMT""},{""version"":""v4"",""created"":""Sun, 6 Jul 2008 12:40:00 GMT""}]","2008-07-20"
"0807.0100","Jens Melinder","J. Melinder (1), S. Mattila (2,3), G. \""Ostlin (1), L. Menc\'ia
  Trinchant (1) and C. Fransson (1) ((1) Stockholm Observatory, (2) Tuorla
  Observatory, (3) Queen's University Belfast)","Detection efficiency and photometry in supernova surveys - the Stockholm
  VIMOS Supernova Survey I","17 pages, 10 figure, accepted for publication in A&A",,"10.1051/0004-6361:20079206",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The aim of the work presented in this paper is to test and optimise supernova
detection methods based on the optimal image subtraction technique. The main
focus is on applying the detection methods to wide field supernova imaging
surveys and in particular to the Stockholm VIMOS Supernova Survey (SVISS). We
have constructed a supernova detection pipeline for imaging surveys. The core
of the pipeline is image subtraction using the ISIS 2.2 package. Using real
data from the SVISS we simulate supernovae in the images, both inside and
outside galaxies. The detection pipeline is then run on the simulated frames
and the effects of image quality and subtraction parameters on the detection
efficiency and photometric accuracy are studied. The pipeline allows efficient
detection of faint supernovae in the deep imaging data. It also allows
controlling and correcting for possible systematic effects in the SN detection
and photometry. We find such a systematic effect in the form of a small
systematic flux offset remaining at the positions of galaxies in the subtracted
frames. This offset will not only affect the photometric accuracy of the
survey, but also the detection efficiencies. Our study has shown that ISIS 2.2
works well for the SVISS data. We have found that the detection efficiency and
photometric accuracy of the survey are affected by the stamp selection for the
image subtraction and by host galaxy brightness. With our tools the subtraction
results can be further optimised, any systematic effects can be controlled and
photometric errors estimated, which is very important for the SVISS, as well as
for future SN searches based on large imaging surveys such as Pan-STARRS and
LSST.
","[{""version"":""v1"",""created"":""Tue, 1 Jul 2008 16:15:41 GMT""}]","2009-11-13"
"0807.0160","Artymowski Michal","Michal Artymowski, Zygmunt Lalak and Lukasz Szulc","Loop Quantum Cosmology corrections to inflationary models","16 pages, 1 figure, plain Latex","JCAP 0901:004,2009","10.1088/1475-7516/2009/01/004",,"gr-qc hep-ph hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In the recent years the quantization methods of Loop Quantum Gravity have
been successfully applied to the homogeneous and isotropic
Friedmann-Robertson-Walker space-times. The resulting theory, called Loop
Quantum Cosmology (LQC), resolves the Big Bang singularity by replacing it with
the Big Bounce. We argue that LQC generates also certain corrections to field
theoretical inflationary scenarios. These corrections imply that in the LQC the
effective sonic horizon becomes infinite at some point after the bounce and
that the scale of the inflationary potential implied by the COBE normalisation
increases. The evolution of scalar fields immediately after the Bounce becomes
modified in an interesting way. We point out that one can use COBE
normalisation to establish an upper bound on the quantum of length of LQG.
","[{""version"":""v1"",""created"":""Tue, 1 Jul 2008 17:01:40 GMT""}]","2010-11-23"
